traffic,cpu,memory,utilization
2554,6,36,0.3255717988520368
3745,6,12,0.58207293728226
904,11,28,0.15648769931357598
2831,3,35,0.7583439902333222
2873,11,19,0.25270311624759956
1670,11,28,0.09773289952861056
2790,10,5,0.16469385240206463
3940,7,18,0.4583454032512634
1128,15,7,0.05
602,13,43,0.05
4593,7,12,0.41762742122832996
970,8,6,0.12025232261839773
4588,5,59,0.7530514511536982
306,2,58,0.16502881092702593
1584,15,19,0.06505664781372938
963,13,58,0.14837556350193173
2890,3,26,0.7809146632097912
663,9,11,0.06702147996672901
4291,15,42,0.18929022804065332
1857,6,17,0.26276499468868497
1778,8,11,0.19864724369229897
3342,8,11,0.3198148953742
4736,14,37,0.3198549565777536
1159,5,22,0.1650681779514243
1822,1,57,0.95
3414,6,15,0.40566453172309186
3257,7,9,0.38446231479985077
2725,9,2,0.3837106844927233
2829,2,17,0.95
1697,12,27,0.16554605520880744
3160,13,50,0.2183924496599139
2793,2,43,0.95
4991,10,7,0.47088980996312746
3727,1,40,0.95
1463,5,51,0.2290641587166811
2081,2,3,0.8302630575984218
1763,3,54,0.46857019501423264
1629,2,10,0.6664339337492035
2138,11,6,0.15318160586877985
3402,4,41,0.6689916973262426
2337,11,57,0.18452783235636722
1406,3,6,0.35797842584661443
4129,9,57,0.3891176366094114
2775,10,48,0.32684552769094866
1382,12,9,0.13867507236123952
809,2,6,0.3351447156042488
4844,7,6,0.517602198337399
4513,15,53,0.2578134581511865
3848,11,18,0.3808254515196923
4879,14,10,0.24001341962217493
763,3,35,0.10221796156462236
2098,10,34,0.19060638768427138
3545,8,23,0.44613758671590814
3843,4,22,0.861357892522278
1595,14,44,0.1777099851289563
3404,4,16,0.6447743522272131
3863,9,2,0.33775928876714817
1953,11,8,0.166401294132319
4759,3,24,0.95
1391,7,52,0.16421198274869236
3681,1,57,0.95
3557,7,48,0.41112574890269626
1736,10,7,0.15802786716726663
3796,11,21,0.27072146575906497
3099,2,59,0.95
3252,12,27,0.2611088443242777
798,14,43,0.05
2260,14,13,0.12888913072020683
4197,6,14,0.5413237308303681
4837,15,48,0.3029050060255326
954,13,52,0.05
3574,9,50,0.3259944371573739
1807,6,14,0.2663445375690158
2877,3,3,0.8130479481558779
1833,1,33,0.95
3610,12,51,0.2920543538846623
302,12,32,0.05
3355,15,62,0.08679939394619951
4318,4,12,0.9283659417723874
4596,4,38,0.95
866,13,5,0.05
4489,8,35,0.5256887779399027
2427,10,60,0.2474713028270616
3031,10,17,0.2173769902236596
297,14,32,0.05
2030,13,26,0.08202926874563524
3682,7,40,0.49128714411462787
708,10,9,0.05
3372,7,9,0.3681457926460276
1247,7,35,0.13673000537868812
4382,12,16,0.24798782315107962
3497,2,6,0.95
2611,9,20,0.2269209151421604
1894,6,11,0.31794455029390656
759,2,10,0.3588219572061259
2911,1,58,0.95
1469,11,55,0.05
2086,1,30,0.95
246,1,53,0.2051532123693079
3319,4,41,0.6973273025447938
3011,4,38,0.6128319070388409
1834,14,20,0.19120991621061892
1943,12,14,0.11489330954744797
588,9,60,0.07782266718534324
3076,13,47,0.21400994981242424
2059,12,41,0.11270469624576165
2485,12,17,0.1958210588533
3019,1,63,0.95
4836,3,31,0.95
1902,3,61,0.5864962905187207
4161,8,55,0.3074013129386597
3469,2,6,0.95
362,6,34,0.05
723,11,20,0.09792916595496529
1116,4,56,0.23865747487609548
3743,13,20,0.2606652578612283
2149,10,18,0.31854220574769676
3823,6,25,0.49982771783422164
4648,13,56,0.3200555733669163
3208,5,54,0.5428869303001298
4190,12,29,0.3339207153584366
2156,9,43,0.24714186728898907
3270,9,38,0.33053033640502083
1782,1,23,0.95
2355,3,40,0.7211635146576301
1254,1,17,0.95
4599,6,62,0.6334813935683442
3291,12,36,0.24303554398548183
1796,3,28,0.4158594060090235
4091,14,13,0.2172207095694204
4823,1,47,0.95
4782,6,29,0.7086722626283879
1748,5,53,0.3588503155175702
1545,12,2,0.14034680345992273
4299,12,40,0.2920763886264134
4023,8,59,0.3820815272368935
353,14,19,0.0648401821304909
3283,2,24,0.95
2657,8,23,0.27199347650312056
198,12,5,0.05
2300,5,49,0.365803229396649
3061,8,12,0.3396647312387812
4533,12,19,0.29535469694976274
3877,10,56,0.31913643466535796
2969,4,49,0.5600016161592729
3334,15,8,0.1983338563925207
3891,4,22,0.898192066270917
1056,10,58,0.10536607785834408
4167,15,36,0.28362009459289866
260,15,58,0.05262253402459956
4593,4,38,0.95
1400,14,51,0.08264818233428955
4087,11,58,0.282235270406388
1627,15,31,0.13932287730478543
1318,6,18,0.20646720736827984
4596,4,34,0.95
4835,9,17,0.45303887752806915
3204,9,16,0.20719945314195742
2835,3,14,0.7514320006044838
4655,7,40,0.6042327300650402
1054,12,4,0.06336870426349223
4665,5,25,0.8306410320258888
3546,15,24,0.26753396819346753
1145,12,60,0.12600756846834116
1793,9,46,0.21060885223569836
3536,2,49,0.95
662,3,56,0.17220148208032265
2585,10,2,0.21511580555686977
3454,5,33,0.6204070698615839
325,12,34,0.05
4993,5,61,0.7574073731247901
1059,10,49,0.05
4648,12,31,0.29853036741072747
3167,15,3,0.31035261131436226
915,14,19,0.06848670033296403
4854,14,60,0.3145299535918344
4742,7,54,0.4908188650178858
3220,13,58,0.2615874882744304
116,14,56,0.05
1343,8,31,0.21512671635812158
2305,8,19,0.1779657815084992
2624,14,6,0.151497599174778
1169,1,6,0.9485953596082712
3544,14,9,0.24270601448706575
2665,1,10,0.95
1160,3,33,0.29073803093870576
2427,1,57,0.95
3520,1,15,0.95
401,10,14,0.08246528999055897
4376,8,19,0.4271469588567887
706,1,5,0.5671350911332786
3270,9,51,0.29214244762394187
799,2,23,0.38025687162326666
1239,9,21,0.1361750968697035
290,14,16,0.05
2400,7,8,0.2849155331875904
1080,9,14,0.18178252525392596
3075,3,35,0.9034592439895663
1284,1,42,0.95
3427,1,31,0.95
3494,11,6,0.23974782153497912
227,15,2,0.05
2165,10,61,0.15985055881821045
1916,6,32,0.21702652980014517
669,7,60,0.10893823634251655
1995,9,52,0.06522286332043314
2833,6,21,0.44954049239558047
3963,5,20,0.6982468440595715
4821,14,55,0.3083128061806487
4114,2,30,0.95
3001,2,46,0.95
1786,8,39,0.18468587783101775
3109,15,11,0.2462134817452264
254,1,30,0.20406079469379998
2637,8,32,0.29389795118055906
1509,11,12,0.14066496706080323
4157,10,24,0.35168512396683227
884,11,31,0.05626646722739112
3275,7,26,0.3025497763277843
4441,7,17,0.5694774756531499
2906,5,59,0.5382245110031338
637,3,58,0.18057793693478402
1941,7,24,0.2932371963227895
2555,7,60,0.3231620652051808
624,7,34,0.05
3050,12,52,0.1590768493327933
4231,15,38,0.2106051227536357
4880,15,59,0.24060919221912838
4215,11,29,0.32303077972560695
2468,2,28,0.95
3947,3,7,0.95
4595,3,39,0.95
2801,4,38,0.5794968560294632
1071,12,7,0.05
1266,9,26,0.05206907932456023
2874,10,14,0.26898414335559573
2082,15,63,0.06509278102184962
953,1,34,0.7961848713635058
4246,15,34,0.18832999709020537
3836,15,26,0.1178877937564812
3869,12,15,0.25754035564816885
674,7,41,0.09552510625155958
3361,7,42,0.3702219442855605
1248,11,56,0.16036514640551364
1815,4,43,0.39291490286246344
4877,13,39,0.34884985223378456
3954,11,10,0.2666889866438576
2591,1,19,0.95
2760,3,16,0.7497116727184905
3224,5,5,0.5196769302375162
3151,12,35,0.19571042438674952
104,2,63,0.05
4969,7,39,0.6310747493978919
976,14,18,0.05
1091,10,8,0.12220979707179984
4242,10,33,0.3949859355021854
4464,7,56,0.5170815721619582
4565,12,24,0.4437772666517005
735,10,63,0.06170778055462789
1793,5,21,0.28420045376706127
1782,15,48,0.0866611950394573
4852,12,57,0.3912422707991411
219,10,54,0.05
930,15,3,0.08341950757450002
3775,6,22,0.4567055571509325
1469,1,13,0.95
840,4,43,0.22433847978146135
216,4,58,0.05
2938,11,59,0.18476058141718865
1250,8,50,0.11595662069416056
2031,15,28,0.05
1112,2,51,0.508949594256112
1764,1,49,0.95
1181,7,11,0.13425184327292738
4829,6,9,0.7463463234810535
612,5,62,0.1390523880588937
2949,12,22,0.20570945949794497
659,13,61,0.10949377675703044
3772,13,58,0.27743397978213924
4683,13,23,0.35962976775906347
3443,8,14,0.42825082952603055
4170,11,49,0.30395291872325203
4899,15,41,0.30661887384264863
1570,13,13,0.05
680,2,18,0.22524198636450576
2394,2,49,0.95
3247,9,10,0.31880955862750265
4349,1,58,0.95
1779,6,52,0.22816048017563317
3606,13,50,0.24897683041038982
2844,13,57,0.18209081964882548
3456,3,41,0.9485783086037046
4145,15,13,0.1597669115684023
1343,13,10,0.10361354160710712
3218,5,31,0.5268552835932646
2241,8,7,0.34207723067462126
3159,7,26,0.44631945168683934
4648,13,29,0.3046717901480299
3059,12,11,0.11539169984042813
2365,4,42,0.6139453229996368
2579,8,29,0.30948655225504607
4746,11,30,0.33201700398404527
1735,11,37,0.1757361243888512
1857,10,12,0.19452096013972098
4552,11,22,0.31206482763173216
2170,14,55,0.08263280898014164
2949,2,39,0.95
3351,7,27,0.45270407354337744
3830,5,19,0.654390890432739
2589,11,5,0.2089390652965786
1731,6,45,0.3081145066939368
2916,3,42,0.802499104339271
1115,11,16,0.05
1448,10,24,0.14738448902492768
4711,7,42,0.6184706325741431
3187,7,7,0.40316751140671914
2939,2,44,0.95
435,1,8,0.33042842631479796
4692,10,58,0.38403060071670536
995,2,47,0.34845517724582536
3646,12,61,0.22437104715364056
951,8,49,0.1688029182802625
1787,11,16,0.0856571630887781
2031,10,53,0.15440090004352428
3846,3,10,0.95
2527,11,52,0.11095725360713593
1668,4,31,0.41529875407505973
4100,8,45,0.3961983041365048
2838,3,63,0.7356800798150142
3598,6,44,0.5691091872096146
4013,2,29,0.95
1166,3,31,0.27264555687951
4480,1,9,0.95
2544,9,36,0.2497349523248285
4207,4,52,0.8601095600312015
3473,6,36,0.5465796052383487
4069,15,58,0.26922075262260453
2646,7,27,0.1648773407846653
853,2,31,0.314102256314274
2182,8,36,0.20028424343287177
2874,12,39,0.17606200524009652
2996,9,12,0.29970933820624157
4285,14,63,0.3117988210695809
875,10,21,0.05
1725,11,47,0.07433814627911661
3169,2,32,0.95
517,5,35,0.05
214,2,13,0.12401009510150551
716,11,49,0.05
4074,5,29,0.6582653773984758
3367,7,4,0.4117708927616596
925,6,54,0.08258776473817456
1616,4,49,0.31915944051038203
3246,14,43,0.15929611272542388
512,2,53,0.11863713792427606
828,7,6,0.09823616998055484
3448,12,14,0.36532997069808315
2908,10,13,0.2437303613933322
775,9,60,0.05
3565,1,2,0.95
2604,3,53,0.6685928863827786
3067,7,44,0.33528029628269024
2886,15,59,0.13903813487682215
1222,14,20,0.05
4179,9,30,0.37225049018462186
1671,13,48,0.1416552106668213
2243,5,51,0.35349945595501153
1787,7,49,0.19793326188788127
4232,15,40,0.13924137617084548
3951,10,43,0.2631130457028684
3540,7,26,0.4255007717780585
3866,4,17,0.8625052061578369
2426,5,18,0.39491798500842323
3014,2,29,0.95
4052,8,40,0.35114214010256245
695,12,44,0.05
828,15,61,0.057913501183969714
1465,15,50,0.1415260016541086
4592,1,6,0.95
798,2,2,0.3259390531930012
495,12,4,0.05
4271,3,49,0.95
4460,7,25,0.484379207578765
2602,6,30,0.3498404041152699
1919,14,16,0.05646398261620924
817,7,5,0.13226654323597645
2882,11,45,0.2652841231585785
3677,5,2,0.5992176567991457
243,14,50,0.05224797364004953
3240,4,57,0.7493688364870168
4591,15,16,0.27520619903144894
3038,15,63,0.21362428467648745
3736,7,25,0.440961030571299
3322,3,53,0.95
1267,13,32,0.0749664925946551
2716,10,21,0.1914886142035205
1162,7,11,0.17300514196298725
2256,2,12,0.95
3082,12,19,0.25301731870694727
3394,12,35,0.1986417502770414
4829,8,29,0.5188955895293398
1256,12,39,0.13433466209123315
832,6,17,0.09324609850337237
4430,12,25,0.347690298343192
4946,15,40,0.353418619782519
1053,3,56,0.26305222612765644
2639,3,52,0.7463381916376776
3424,5,13,0.6583966753437707
3401,3,51,0.8729457478947849
1642,6,43,0.24828943175533902
1291,2,8,0.5725587792037806
3093,8,37,0.3232171833019809
2781,13,18,0.29013339993053555
1317,11,50,0.1243152042244883
1640,12,5,0.18113042589197936
3336,11,54,0.29440888739561133
2486,9,38,0.3049091638126482
3819,13,34,0.25361746726711215
1488,15,20,0.05
1956,7,55,0.2601749441338002
1465,14,27,0.05
599,3,56,0.1496997951176324
1780,11,12,0.11153054441131188
610,14,32,0.05
4412,10,2,0.4308770710844574
1424,4,41,0.2953941120164085
1255,12,37,0.18994145827672565
1927,10,30,0.15734634840199355
3241,2,26,0.95
3586,9,60,0.3024268479444212
1910,14,60,0.15622137769407435
3023,5,55,0.4364481344265766
2314,12,48,0.14289605733470517
4286,2,50,0.95
813,10,19,0.05197707013437944
3702,6,4,0.48642673915873536
4234,7,19,0.5667602837833244
3622,13,59,0.22083423752692427
4368,2,8,0.95
4848,15,29,0.3110142078953961
4949,1,18,0.95
1343,13,26,0.09511870594265376
3809,7,19,0.4244730243862976
1181,1,53,0.9398006984068606
555,3,41,0.12648640027183394
994,4,44,0.14405554956760797
1484,2,4,0.5937055870518253
2058,7,26,0.2724643792743714
3172,5,8,0.5655001671138964
2096,1,48,0.95
4385,12,11,0.3236359496513013
604,12,45,0.05
1314,8,45,0.10035124944447202
1631,10,52,0.11879556986990794
3540,7,20,0.4776436013927315
923,4,16,0.07847171317493684
1028,2,22,0.3710221391760624
233,15,22,0.05
2205,7,59,0.20694049118132748
3727,11,38,0.30425521184890564
4880,2,29,0.95
1952,6,46,0.3312790715591156
4275,1,33,0.95
3033,14,58,0.19297552098869003
3384,7,42,0.3719119369479056
4398,7,55,0.5699128756891148
2911,12,28,0.1880085769061136
1350,4,60,0.23852176669228642
3612,4,24,0.7551341645589108
1356,15,11,0.05
3476,10,41,0.25266802460851134
3586,5,42,0.5593789906986001
3684,2,7,0.95
1496,9,25,0.05903800889145447
3737,10,19,0.26508569567761
3430,4,11,0.6889095632404885
2803,11,57,0.23605164322141173
570,9,16,0.0529061508564892
1453,14,46,0.16823102361663672
2883,3,44,0.7555972565170286
2931,9,35,0.31555092524467254
457,1,9,0.4249582380633501
3119,7,51,0.3803293677642612
767,4,36,0.1668741024888599
4568,7,56,0.557008989849807
1245,14,28,0.05
4285,10,26,0.4051076290715843
3819,15,4,0.21590999103739156
2845,6,22,0.3350138126247677
639,4,58,0.19268352437744377
2879,4,40,0.5943598938663873
4236,8,33,0.4438997541179554
4935,7,63,0.4619750536533539
3875,4,51,0.8031681292310179
2608,11,54,0.2610321513640479
2879,6,22,0.3684859018622033
1024,6,10,0.07782446097779161
3056,1,51,0.95
1681,13,2,0.05
3424,2,5,0.95
4585,4,5,0.9450291692216373
355,6,50,0.05338513006265011
4904,6,27,0.799344152666563
1938,1,56,0.95
2044,8,35,0.14599814982451778
109,2,28,0.051159013862382835
2971,13,16,0.22760069542124417
897,5,46,0.05
1115,4,33,0.23165253117720655
1924,5,42,0.234109634185588
4569,5,8,0.7627366339964808
3236,15,62,0.2570049211830772
2293,10,62,0.1693633527869815
323,8,45,0.05
4258,10,45,0.3688220934006502
4025,7,15,0.4962963634609412
4884,12,24,0.3465719612333715
4100,14,48,0.1436300496560231
1733,9,2,0.16969314677526925
2252,12,63,0.12466441145101642
610,11,33,0.05
484,13,42,0.05
504,15,27,0.05
4713,1,49,0.95
4671,6,10,0.6287821991560565
2100,6,17,0.3587555522681823
2856,2,32,0.95
1768,11,3,0.14229885687616928
1560,8,33,0.10222529063389926
3736,6,11,0.6009105958012093
2824,11,26,0.2488398970728019
4909,13,19,0.27321077947755257
4278,10,46,0.3671899195695007
2148,9,35,0.13036606133917195
4246,10,30,0.2632061670628345
4880,5,62,0.808589761851347
816,7,46,0.05926160882147776
4644,6,25,0.6549158291273919
4683,11,4,0.270968250906493
1923,15,63,0.0790199621315712
2181,5,16,0.440031823844734
3519,6,4,0.560286024881779
1674,4,56,0.43239857231495016
349,3,32,0.2099293617343011
773,13,11,0.05
4633,1,39,0.95
2265,1,56,0.95
870,6,23,0.06500458473670379
4062,14,15,0.34476446596816485
4463,9,10,0.4173829488609206
2084,8,19,0.29886660627423434
1177,12,9,0.07401848683598374
335,2,60,0.10560636686186053
488,9,39,0.08155688507438456
3137,8,16,0.3512330729304985
4958,14,47,0.23785351805315016
1948,14,16,0.1142214457818529
4819,12,53,0.3058612624448529
2914,9,7,0.2800263482346545
3474,4,55,0.7220130261753929
3378,9,13,0.3196005840054734
1352,2,43,0.5641084455062603
4081,13,20,0.2439737619449899
4773,1,41,0.95
2222,13,6,0.10451339158066272
4630,9,28,0.5111259937779917
2250,10,11,0.18670371051114046
4959,8,44,0.5586739017244311
1429,7,53,0.14338968420063775
1458,14,47,0.0655665286945741
2582,13,15,0.21162271280945874
4642,8,62,0.5215293048220345
2117,12,35,0.14087815250170999
1431,1,63,0.95
4444,14,59,0.238321340492479
4361,9,50,0.3993763501233109
1458,12,16,0.0671307015702512
4737,10,30,0.33114074856563874
4954,11,56,0.4180035741754415
3277,9,27,0.29439887304045265
2228,15,28,0.21422226787000098
2280,12,4,0.1499527947748178
4992,11,4,0.3870540157316256
237,9,36,0.05
3572,13,59,0.3045266600772929
2932,14,61,0.15940585780930075
3679,6,62,0.5008262408709084
3131,4,36,0.6046785404417991
4264,13,51,0.2923134489717487
2693,2,7,0.95
4400,11,15,0.2848689403251045
3918,4,27,0.8138230828506849
4238,7,4,0.5407486955519726
3923,1,34,0.95
4142,14,43,0.2583389408318533
2006,9,14,0.15821168650437312
860,3,30,0.2617236492703967
3545,13,10,0.22022275375621087
999,13,33,0.06685371466915488
4555,4,23,0.9488537580692982
3047,12,23,0.2346660424755729
1819,5,59,0.33292455009372046
380,12,58,0.05
3366,13,35,0.39166759931891
1987,3,11,0.5978735387001654
3366,4,26,0.5972870428567566
766,5,63,0.11032404605247627
4288,12,13,0.29680817405068466
771,1,52,0.6729606157772889
2069,14,4,0.21485903172443238
4256,9,20,0.35810368952046845
3222,10,34,0.3260465565482886
4799,13,59,0.3178088561114941
4877,10,48,0.42287297090675124
4000,13,56,0.3161257001948541
623,14,27,0.05
2493,4,14,0.546117244413691
3217,13,8,0.2888414447901089
2693,9,35,0.19645495143769492
2068,4,23,0.43094975650166417
1853,14,21,0.144214807337059
2396,1,44,0.95
2361,12,24,0.1807569117536612
2386,5,49,0.3846285400858168
4302,13,15,0.34585956123808204
2978,9,31,0.23876707545663672
4243,3,24,0.95
3744,5,48,0.5837546670828944
4532,3,53,0.95
2155,12,20,0.11376703238380749
4820,3,40,0.95
1376,1,42,0.95
2866,2,37,0.95
402,2,7,0.12996478439204026
738,9,24,0.05
155,7,11,0.05
4921,8,36,0.3673614970085972
625,2,22,0.2675620595736636
4669,9,33,0.4942711597418762
4223,13,61,0.30840127928346506
2225,3,31,0.5747109871233421
3387,10,34,0.3333871866095466
464,13,7,0.05
4721,2,6,0.95
1746,12,56,0.05
1018,1,16,0.8788085573599839
2897,9,58,0.2684919320847791
1631,8,44,0.17682835313576084
3445,13,53,0.22170379525096354
2006,15,26,0.20485528973156047
3186,12,14,0.26493895102948106
4680,11,7,0.39034316636218963
2175,4,38,0.48088909517422374
813,7,3,0.1970748118894713
1162,12,18,0.06809532714757485
2076,14,25,0.054140319025332145
1396,3,13,0.4736264063027184
225,3,45,0.05
4732,4,55,0.95
3696,2,15,0.95
3383,14,8,0.1646714193785322
1703,10,55,0.0712327822716704
166,4,27,0.08787948794550823
332,10,33,0.0910886837603137
2256,3,30,0.6583322870056181
1269,8,47,0.1522949299802387
2258,11,40,0.10114054391876616
4306,2,10,0.95
1593,11,15,0.18136510443543097
4818,9,54,0.40710027291044204
4107,3,18,0.95
2572,4,50,0.5588913618220681
2760,13,26,0.20265519043117508
2839,10,54,0.1853544673666869
1861,14,31,0.10488799099004636
3614,15,46,0.2430701021037452
2075,10,30,0.26586852007002326
2462,15,60,0.12598646523494267
976,15,30,0.07478041493980364
3912,3,19,0.95
3548,3,32,0.95
1412,8,20,0.12208447750679123
1560,8,18,0.25939645135968825
2809,13,7,0.21672055299060536
2424,13,13,0.16005671634198723
1833,6,39,0.1593972723289982
1705,4,4,0.370628735700145
2663,1,48,0.95
3521,4,36,0.7222005749861212
3617,8,56,0.3791055592526996
2497,6,48,0.43688043203763216
3835,2,34,0.95
2970,3,54,0.7807317631868126
1260,12,30,0.18511843245270182
4954,7,4,0.5500492467796402
342,11,6,0.10671131744268426
2690,11,60,0.16758322017270672
1163,4,15,0.23472245635420064
4424,4,37,0.8160423611923943
2695,15,55,0.17608970569559224
1019,15,29,0.05
105,5,42,0.05
567,8,33,0.05
4270,14,19,0.23299659028789194
103,14,43,0.05
745,7,41,0.12966993170142327
217,9,63,0.08553156555304141
3028,15,14,0.10973743417480164
2651,5,3,0.4262749195196109
4389,1,53,0.95
946,4,26,0.2272311444643961
2862,6,21,0.42662617474641323
1241,6,8,0.13012570237829096
1910,9,12,0.23694488057983343
823,10,6,0.08908920354637717
324,13,30,0.11021802967567088
4727,5,19,0.8036874901117421
4308,5,9,0.6178705645012141
4754,6,28,0.6191081639054852
2148,11,59,0.1546766519725515
4849,6,43,0.6312611112953066
4515,3,3,0.95
1673,6,36,0.3275805602554273
1928,8,27,0.13836734459526073
2017,12,24,0.11360320379098661
4334,6,6,0.6052538355825345
2126,12,17,0.08187132942187943
3844,11,43,0.28305796843808817
1001,5,12,0.05
4885,3,20,0.95
2139,1,17,0.95
109,5,33,0.05
360,6,13,0.05
1773,14,3,0.17297066287654814
2319,6,44,0.29157167631079833
2160,14,23,0.23543127678309683
3813,6,27,0.5401960038458755
1719,3,34,0.43035876997236594
420,15,25,0.05
1442,4,6,0.362192923478557
2476,15,22,0.08416871189548385
2932,3,47,0.9115552252153934
2924,2,19,0.95
2094,8,40,0.1609235038210276
3058,7,6,0.33793726888198206
2138,11,9,0.1411861347651854
3590,8,22,0.429372842615604
3777,13,48,0.18314645619182873
1218,6,58,0.2461397383219528
1704,11,6,0.18617111654422347
4127,15,14,0.3124964387632761
335,12,20,0.05
2069,15,30,0.1766887300847756
4529,14,3,0.25754748321109633
2008,7,38,0.2901299781958572
475,1,27,0.40021026883133354
3630,10,30,0.3925533981805002
2735,5,59,0.4692499736826017
1670,4,6,0.3056842250071987
2660,10,33,0.2973115365514934
3491,3,39,0.95
3065,2,49,0.95
3743,14,3,0.19359474023198303
3950,14,6,0.19061564336926967
972,9,48,0.05
1352,8,34,0.11972208600636781
1414,10,52,0.12807543985155062
4920,15,36,0.25427296966364105
2998,2,20,0.95
177,6,16,0.05
2721,3,36,0.8028372665081883
4327,3,9,0.95
700,5,48,0.05
1165,7,2,0.12091246526185886
2236,7,39,0.2724211814386782
2549,11,23,0.24087366066898971
2443,10,18,0.16926469066284555
1963,1,17,0.95
1418,11,46,0.10631450200365938
4811,7,2,0.5542040523411232
3697,7,4,0.4837705374590379
3862,6,57,0.4891430474462935
4770,6,7,0.7098671490528641
2290,13,53,0.08972458305334227
1092,13,54,0.05
2812,2,59,0.95
2292,3,63,0.6311245100471644
1348,3,4,0.2472588687564062
3154,13,48,0.207456500559391
4698,3,31,0.95
4133,2,48,0.95
2097,9,12,0.2078830521960433
3787,6,28,0.5748043941454247
2251,2,23,0.8711509286851873
4118,3,7,0.95
3210,10,39,0.26511518489186436
2070,6,42,0.2591128324022456
297,4,47,0.05
2726,7,32,0.32856588363511513
1302,6,59,0.24767933155072558
2135,15,62,0.10658102544098919
577,6,44,0.14282621801883208
1354,12,57,0.15132544483920118
1022,3,7,0.17692703790529218
519,11,51,0.05
2304,8,21,0.21256206558719243
2697,9,48,0.3159128509719041
1220,6,55,0.16844751355198848
3168,2,42,0.95
1050,1,12,0.868179864192798
2436,3,3,0.742602059253789
2343,3,32,0.6734500451338693
2745,8,39,0.28115083937534413
1957,5,27,0.3849026131382225
4712,1,28,0.95
1965,11,59,0.2499001429498986
3012,4,59,0.5544215938234129
2953,7,56,0.3300211149991794
3328,5,47,0.5597060661925557
3819,10,47,0.2811594751621021
3328,15,32,0.2046070753940767
2471,13,25,0.15236793324489545
2991,6,14,0.4319110086542126
3856,14,26,0.1850683916088927
4325,10,38,0.30961008171414267
194,4,42,0.05
2774,2,26,0.95
2055,9,30,0.2824500508142407
893,15,32,0.05
1934,2,44,0.7959809659399147
2216,2,40,0.9454768243728464
4206,13,3,0.28787828087812184
3425,12,57,0.17680319563678365
3019,2,13,0.95
2697,1,6,0.95
3305,13,62,0.34602900263398667
4907,12,28,0.38791915397811405
914,12,57,0.08099368617617456
445,3,35,0.05
2449,6,15,0.27426691844814016
462,7,8,0.05
2543,1,38,0.95
2365,14,37,0.1339633942057755
2288,5,11,0.3495734735411993
3105,5,30,0.534222323233089
3381,1,17,0.95
1084,4,39,0.18509258514669646
1739,10,22,0.14162226933135522
927,1,39,0.8659608380500343
2830,13,42,0.22619249669251204
