traffic,cpu,memory,optimal_cpu
4817,13,11,5
4804,14,23,5
4318,1,27,4
2471,14,18,3
167,13,56,2
4717,3,32,5
4124,15,8,4
3500,13,44,4
2186,11,24,2
1697,1,29,2
3202,6,55,4
2728,14,31,3
2548,9,52,4
1165,2,24,1
1514,7,48,3
553,13,63,2
2509,5,26,3
4644,4,44,5
971,6,12,1
242,4,47,2
1571,9,53,3
4011,12,40,5
2382,13,16,2
2557,2,13,3
4560,13,58,5
2204,14,14,2
3517,14,32,4
4806,7,5,5
2851,13,30,3
1814,14,42,3
4179,6,57,5
4002,13,25,4
4054,2,39,5
2640,8,47,4
1884,14,22,2
279,9,55,2
4482,7,41,5
1631,3,37,3
2212,9,18,2
4393,6,29,4
3594,12,32,4
1306,14,35,3
610,5,42,2
833,9,24,1
1916,3,6,2
2624,15,56,4
2866,1,47,4
3992,8,46,5
3455,10,11,3
3736,8,49,5
1079,9,28,1
587,12,28,1
490,3,20,1
2176,7,26,2
1257,3,19,2
4394,4,54,5
4839,14,45,6
146,4,13,1
2322,14,23,2
4698,6,45,5
3079,15,10,3
2638,13,38,4
331,15,32,2
3062,10,22,3
4864,7,55,6
4848,5,31,5
4375,10,6,4
2135,11,8,2
1670,10,52,3
491,11,53,2
3793,1,42,5
3527,8,49,4
2228,1,43,3
1503,15,59,3
2364,14,21,2
2783,7,62,4
4743,1,3,4
3275,12,49,4
3754,14,30,4
196,12,44,2
1322,5,42,3
3314,12,59,4
4197,1,7,4
914,6,52,2
541,2,46,2
4832,14,41,6
2603,15,27,3
4186,10,51,5
1180,10,37,2
2005,10,10,2
2256,13,24,2
1124,8,14,1
4659,14,33,5
3860,3,34,5
3381,2,49,4
3779,10,7,4
3937,6,27,4
4020,6,4,4
662,4,24,1
1807,1,43,3
4619,2,29,4
2952,4,47,4
2150,12,42,3
409,11,11,1
1435,10,43,3
1675,3,44,3
1684,12,4,2
1121,14,16,1
1506,10,14,2
3220,6,40,4
4007,10,47,5
2978,15,62,4
2902,12,23,3
3614,11,8,4
4987,7,61,6
1049,5,24,1
1843,2,28,2
4310,9,23,4
1587,5,34,3
4777,14,52,5
1059,4,47,2
2981,11,48,4
3443,4,40,4
4035,10,26,4
3632,7,37,5
1231,1,14,2
3373,3,10,3
380,12,19,1
1130,2,15,1
3700,4,21,4
3134,3,19,3
527,15,23,1
4347,6,35,5
1944,14,14,2
2689,14,16,3
1269,7,2,2
2419,5,35,4
782,13,14,1
4464,8,63,5
4772,2,26,4
2713,2,7,3
1757,15,28,2
3499,4,24,3
4399,7,49,5
4694,14,41,5
4518,4,58,5
2825,8,40,4
314,8,43,2
688,12,60,2
4376,14,49,5
4009,3,8,4
411,13,13,1
3153,11,37,4
957,5,57,2
4412,6,45,5
4511,5,63,5
2976,3,48,4
4209,2,49,5
3465,13,62,4
1222,6,3,2
3434,3,2,3
1674,9,15,2
4285,15,42,5
4801,3,51,6
2306,7,8,2
2171,11,21,2
117,3,20,1
1885,8,23,2
3262,8,41,4
1651,9,43,3
4144,3,34,5
1219,8,22,2
1777,8,10,2
4164,5,57,5
3958,10,52,5
2805,11,44,4
971,5,40,2
2255,15,61,3
605,2,32,2
3989,6,23,4
4389,5,61,5
474,7,39,2
1336,6,40,3
1440,4,12,2
1488,1,29,2
284,1,3,1
4067,3,4,4
3911,12,48,5
412,12,54,2
3586,13,29,3
1380,15,18,2
2087,10,57,3
699,5,9,1
3635,3,21,4
2256,14,57,3
3548,6,63,4
371,3,30,1
1814,11,29,2
718,1,51,2
3253,1,30,3
2144,11,33,3
4215,11,10,4
3188,9,10,3
1757,14,50,3
953,7,15,1
1652,13,45,3
2104,4,17,2
3921,13,39,5
4811,3,57,6
3687,6,40,5
246,9,54,2
4204,10,39,5
4906,3,46,6
3750,7,15,4
3684,6,29,4
1480,11,54,3
1434,1,32,3
322,5,12,1
4315,5,32,5
1876,8,7,2
1071,12,62,2
2584,8,18,3
3604,5,48,5
4632,4,16,4
1379,2,52,3
3799,11,22,4
2090,3,29,2
2225,6,54,3
3414,12,50,4
4345,13,27,4
821,5,56,2
2342,15,52,3
4709,7,39,5
2320,4,63,3
675,14,25,1
3532,14,22,3
1324,13,51,3
405,10,16,1
3280,12,38,4
1259,1,17,2
1988,9,47,3
4863,9,52,6
3124,3,28,3
3089,8,60,4
1080,13,38,2
2613,1,47,4
3904,10,36,5
870,8,60,2
2151,4,39,3
4667,1,59,5
4848,6,15,5
1273,2,5,2
4761,8,13,4
4487,5,29,4
1258,6,6,2
3530,1,54,4
687,4,38,2
1132,2,58,2
1546,6,62,3
1770,5,59,3
4942,10,24,5
2635,11,23,3
3728,11,38,5
1579,10,37,3
193,11,34,2
770,2,21,1
4917,13,10,5
1219,2,12,2
1559,10,41,3
4067,5,32,5
4031,5,18,4
2623,6,39,4
4559,6,20,4
113,14,24,1
4123,8,48,5
2609,2,29,3
3737,11,6,4
2541,9,31,3
2549,15,40,4
3158,9,8,3
516,12,58,2
1046,3,56,2
734,10,20,1
2734,1,54,4
2202,15,48,3
4751,8,43,5
1873,8,21,2
2394,11,29,2
2785,12,42,4
4512,12,57,5
894,3,37,2
1307,6,47,3
834,12,37,2
1365,8,48,3
3881,6,47,5
3935,1,31,4
4239,11,8,4
4388,12,46,5
1049,15,25,1
1064,6,35,2
396,8,5,1
4983,8,17,5
4630,5,55,5
2187,8,25,2
2481,2,63,4
2411,3,54,4
1911,9,41,3
2679,11,22,3
416,15,21,1
3863,4,28,4
3934,11,51,5
148,3,40,2
1017,7,37,2
2712,15,62,4
4216,15,28,4
698,5,19,1
1127,5,13,1
592,6,61,2
4081,2,27,4
4506,6,41,5
1609,3,40,3
3864,2,25,4
986,9,36,2
3045,1,2,3
2943,11,58,4
2466,4,52,4
4456,11,13,4
3440,12,40,4
2390,5,40,3
3300,3,5,3
420,4,46,2
1505,10,23,2
2394,13,55,3
2118,3,8,2
4850,13,20,5
4586,2,45,5
2986,4,33,4
2220,4,15,2
3658,3,15,4
3908,11,9,4
228,13,9,1
1492,5,44,3
2256,14,34,3
679,12,40,2
2505,7,17,3
3937,1,58,5
3267,15,58,4
4114,7,54,5
221,2,13,1
1922,7,35,3
615,8,13,1
797,2,24,1
3648,2,21,4
4994,5,10,5
552,12,4,1
2755,2,7,3
2178,13,3,2
2217,14,34,3
246,1,52,2
4905,3,52,6
4633,11,57,5
1122,12,16,1
4333,15,3,4
1875,12,8,2
4943,8,24,5
1803,9,6,2
4970,12,62,6
4034,2,31,4
2539,8,24,3
1518,8,38,3
3224,2,39,4
1982,14,18,2
1124,14,35,2
4933,2,17,5
759,3,62,2
1200,14,34,2
3105,15,36,4
245,10,14,1
2574,6,58,4
641,15,43,2
3238,9,23,3
865,1,13,1
4995,7,26,5
2709,8,32,4
2991,2,53,4
475,2,4,1
2848,13,50,4
4251,11,59,5
3879,8,23,4
1629,4,41,3
3402,11,15,3
4502,2,29,4
1112,4,61,2
809,5,46,2
474,8,20,1
2043,5,2,2
596,6,6,1
3774,5,9,4
4343,7,41,5
1898,4,54,3
4840,11,35,6
213,11,50,2
792,6,13,1
3023,12,24,3
2782,12,35,4
1564,10,12,2
3785,8,46,5
3068,6,56,4
2850,15,37,4
1496,5,44,3
4667,9,45,5
2465,2,33,4
1362,7,3,2
1610,5,22,2
3209,14,47,4
3565,2,37,4
2841,9,15,3
4690,15,58,5
2425,6,55,4
4686,6,5,4
1088,10,8,1
3344,4,5,3
3233,12,29,3
1480,1,51,3
1795,4,43,3
1492,13,34,3
256,9,53,2
206,3,53,2
1142,12,28,1
3728,2,28,4
3790,4,15,4
2468,9,17,3
3215,11,9,3
686,3,25,1
834,9,28,1
3333,14,15,3
2915,6,42,4
4533,10,60,5
2069,6,39,3
3280,2,39,4
2309,10,7,2
3453,1,58,4
331,13,58,2
915,2,24,1
2789,1,5,3
1346,11,32,3
1405,9,40,3
4985,15,21,5
3554,12,2,3
4645,15,13,4
1355,10,29,2
1327,12,52,3
1667,11,21,2
4769,8,57,5
502,14,40,2
4623,6,13,4
3921,12,22,4
3710,6,8,4
2078,2,38,3
2089,7,38,3
2053,2,58,3
3568,2,3,3
2694,11,19,3
1971,12,9,2
3675,10,5,4
3898,13,6,4
3907,3,63,5
3350,15,14,3
1634,1,61,3
3001,10,4,3
682,13,30,1
171,13,13,1
4608,2,60,5
2132,14,9,2
1977,14,32,3
3034,11,25,3
2859,4,38,4
2355,15,3,2
4102,3,40,5
3593,3,18,3
308,3,38,2
223,9,57,2
3683,14,22,4
4726,15,14,4
3346,2,57,4
4432,11,36,5
1288,7,14,2
1953,13,19,2
4965,5,54,6
2336,4,24,2
4778,7,4,4
1753,3,54,3
1518,3,21,2
1188,12,48,2
117,6,42,2
4471,4,22,4
498,15,24,1
3831,6,17,4
4760,13,25,4
4025,4,63,5
2206,14,25,2
4078,5,63,5
4037,6,61,5
1969,8,47,3
3272,6,45,4
3419,7,49,4
3550,11,20,3
1289,11,36,3
3554,2,19,3
3999,5,6,4
1287,11,54,3
2543,2,14,3
2594,7,55,4
1697,15,48,3
3679,9,56,5
3928,13,33,5
2316,1,32,3
3700,15,39,5
195,3,40,2
4596,4,4,4
1089,6,41,2
1285,10,27,2
1196,5,5,1
377,2,36,2
4729,5,28,4
634,10,13,1
1612,8,16,2
4951,5,2,5
1105,7,4,1
310,1,15,1
1564,2,58,3
3116,2,39,4
851,15,38,2
1099,4,47,2
4853,4,32,6
3847,15,4,4
414,1,34,2
327,12,22,1
2656,9,24,3
4077,9,21,4
716,13,37,2
3207,11,53,4
310,6,10,1
1400,7,31,2
3172,2,3,3
2828,4,59,4
4734,1,56,5
1956,11,58,3
2235,3,22,2
485,5,37,2
4022,9,60,5
2874,13,14,3
1258,8,44,3
1239,7,41,3
393,5,57,2
1870,12,29,2
1107,1,5,1
4339,8,53,5
4305,11,4,4
3813,1,12,4
2835,15,36,4
1196,5,49,2
1651,9,53,3
3088,6,62,4
133,8,30,1
1595,7,3,2
572,5,14,1
3530,5,58,4
1556,9,23,2
775,5,59,2
2071,3,30,2
1638,7,32,3
2771,3,63,4
2012,4,2,2
2656,1,40,4
896,15,11,1
2168,5,27,2
1058,8,46,2
3187,4,11,3
184,10,17,1
3424,11,61,4
4206,5,22,4
1502,2,34,3
3393,6,36,4
1848,11,22,2
747,13,10,1
3653,12,41,5
1027,7,37,2
1700,11,60,3
4099,1,14,4
3430,5,12,3
2831,10,29,3
897,6,8,1
2973,2,5,3
1016,7,58,2
1747,5,40,3
1463,10,10,2
4774,11,47,5
1594,5,52,3
908,13,36,2
1640,12,49,3
3010,15,7,3
4434,13,12,4
1609,14,33,3
4885,9,2,5
1597,1,41,3
3954,12,46,5
521,8,14,1
4537,13,55,5
854,14,10,1
1565,8,56,3
4139,9,28,4
3813,10,46,5
1667,9,39,3
3674,4,20,4
4236,12,6,4
1892,5,16,2
1668,12,6,2
4262,6,5,4
1463,9,9,2
4288,10,6,4
3081,3,23,3
4715,4,38,5
1563,15,34,3
1436,2,39,3
4555,4,59,5
3682,12,26,4
1463,15,45,3
3856,1,3,4
4152,2,34,5
3872,14,22,4
4981,1,32,6
4116,3,39,5
3545,13,37,4
3664,12,51,5
3226,12,24,3
500,5,37,2
2113,14,6,2
923,6,23,1
4496,2,20,4
1047,1,34,2
808,5,20,1
3600,12,50,4
849,4,31,1
1605,5,18,2
4810,13,7,5
1564,3,7,2
2045,14,2,2
3298,9,29,3
3618,6,6,4
4144,2,20,4
4226,5,18,4
4205,15,10,4
553,8,5,1
2396,14,5,2
3457,4,30,3
4911,15,31,5
4750,1,38,5
678,6,21,1
4654,5,47,5
2948,12,35,4
2031,12,53,3
2487,5,41,4
3249,13,38,4
1759,15,56,3
2651,6,6,3
2406,9,15,3
2534,3,17,3
4704,2,20,4
1661,5,18,2
3387,12,25,3
4535,1,24,4
3590,5,19,3
2313,6,47,3
3249,4,10,3
2903,7,18,3
4101,14,61,5
300,15,4,1
4594,7,24,4
528,13,12,1
1511,2,4,2
2236,7,10,2
873,10,25,1
1126,5,16,1
1854,13,25,2
513,10,6,1
3831,6,21,4
3147,5,16,3
3567,10,48,4
273,9,20,1
957,7,53,2
4985,10,60,6
699,7,42,2
3912,8,21,4
1811,2,14,2
271,10,29,1
3639,13,36,5
2348,2,33,3
1886,15,49,3
800,9,59,2
3835,7,4,4
2102,5,44,3
2370,14,47,3
2245,15,23,2
1796,15,14,2
987,12,39,2
1483,14,49,3
1962,7,36,3
2859,10,13,3
2854,15,41,4
4735,9,27,4
1144,12,40,2
1001,11,10,1
4009,12,17,4
934,5,5,1
4564,1,17,4
2721,1,14,3
1909,7,56,3
2270,10,49,3
1418,7,56,3
2906,6,63,4
1338,2,20,2
2447,10,30,3
1733,15,41,3
3932,3,17,4
3703,2,5,4
2547,1,40,4
3997,2,15,4
2818,3,10,3
3274,4,38,4
372,4,36,2
2817,6,19,3
2801,13,45,4
2915,7,51,4
4271,7,45,5
2430,13,50,4
344,11,46,2
870,15,30,1
1829,4,46,3
4137,14,47,5
2869,5,58,4
4717,6,53,5
3748,1,60,5
1160,1,43,2
388,6,33,2
958,3,62,2
4534,3,62,5
3382,11,19,3
294,14,47,2
2180,10,6,2
2279,11,7,2
4187,10,7,4
683,14,63,2
4195,13,7,4
3405,3,20,3
1021,4,24,1
2009,7,32,3
2340,15,50,3
2965,7,15,3
2616,1,23,3
4317,11,34,5
1820,3,36,3
3449,5,50,4
4392,2,42,5
2840,14,49,4
894,1,11,1
1015,8,37,2
144,1,27,1
3058,15,59,4
3886,11,43,5
4799,14,45,5
129,3,4,1
4581,15,48,5
3345,13,17,3
3100,15,41,4
2312,9,37,3
2257,4,3,2
3017,12,47,4
3358,12,15,3
2694,5,15,3
559,12,11,1
3952,7,3,4
4233,9,24,4
2043,10,30,2
2743,14,55,4
2125,5,9,2
952,4,27,1
3599,7,14,3
3878,7,35,5
2407,9,56,4
3269,2,48,4
461,15,30,1
4323,11,35,5
249,8,39,2
4593,12,56,5
3585,6,30,3
2409,11,8,3
3057,2,61,4
4367,3,43,5
618,1,41,2
1241,4,43,3
1817,7,20,2
637,12,60,2
294,15,21,1
3389,2,9,3
3919,4,5,4
3140,15,42,4
2156,13,2,2
2866,9,11,3
449,9,18,1
459,1,48,2
2301,1,47,3
3530,14,10,3
346,8,27,1
4371,6,59,5
4848,12,27,5
4872,15,8,5
3794,11,39,5
4725,10,21,4
3414,1,18,3
1934,13,30,2
4975,3,20,5
2573,4,37,4
4724,13,14,4
3439,8,2,3
4789,14,27,4
2981,9,37,4
2482,8,17,3
4660,2,37,5
2366,1,52,3
3453,8,58,4
4840,1,39,6
650,8,41,2
364,2,7,1
928,2,31,1
3415,7,24,3
2590,15,35,4
1392,4,27,2
3230,10,56,4
3576,15,13,3
883,4,7,1
4551,6,21,4
4844,10,49,6
3174,14,12,3
2695,6,30,3
179,13,54,2
4103,6,30,4
3546,13,33,4
1214,10,17,2
2211,1,9,2
4169,7,20,4
2043,6,51,3
4206,7,59,5
3655,9,10,4
644,8,35,2
2770,5,9,3
818,6,41,2
1094,11,45,2
327,13,7,1
862,9,29,1
3803,6,22,4
1051,5,32,2
3513,2,22,3
4287,1,36,5
3674,9,23,4
2227,15,18,2
1312,10,28,2
4599,7,9,4
1968,9,63,3
638,9,22,1
4718,15,2,4
744,9,42,2
4112,1,48,5
2412,2,4,3
3503,12,15,3
590,4,59,2
2389,12,35,3
2579,15,46,4
2103,4,48,3
3431,11,3,3
3524,15,49,4
3802,5,38,5
1285,13,58,3
2965,12,2,3
3555,10,11,3
4514,8,31,4
2375,11,36,3
2239,4,44,3
1890,1,56,3
3192,14,21,3
4934,9,46,6
2603,3,55,4
4643,5,26,4
1773,5,63,3
2715,9,24,3
3909,6,15,4
2264,10,13,2
2325,15,58,3
4295,6,61,5
2406,5,39,4
2886,13,39,4
2977,13,61,4
162,9,60,2
2532,9,41,4
2019,7,52,3
4559,15,44,5
584,4,20,1
1209,6,61,3
1103,9,40,2
4732,10,32,5
3216,4,22,3
1554,4,34,3
2260,9,9,2
138,3,48,2
2359,1,50,3
4596,8,5,4
543,2,37,2
3923,11,13,4
3204,3,31,3
1565,8,33,3
4702,7,38,5
799,7,61,2
668,9,55,2
3374,7,23,3
1423,10,14,2
3099,4,31,3
264,14,45,2
1901,8,9,2
4689,13,59,5
4725,11,25,4
1867,3,39,3
3332,15,18,3
3058,6,38,4
4952,14,43,6
3739,6,15,4
3279,15,33,4
4094,14,10,4
1733,1,5,2
4972,1,32,6
3283,7,62,4
2677,15,14,3
1856,3,54,3
3771,10,58,5
3690,15,9,4
2254,13,17,2
366,7,55,2
2826,3,28,3
1956,2,40,3
3630,1,6,4
1688,7,51,3
2176,11,14,2
1410,11,21,2
4283,10,8,4
1784,9,12,2
1674,8,43,3
4478,8,20,4
4271,8,19,4
1226,3,44,3
2278,10,30,2
425,8,48,2
4063,9,33,5
767,7,54,2
1897,1,35,3
1690,4,16,2
2783,5,43,4
4309,6,52,5
1916,4,32,3
1750,11,8,2
2888,11,7,3
3900,4,13,4
493,12,24,1
1167,1,12,1
2058,8,33,3
4707,8,35,5
1500,10,16,2
2039,2,63,3
659,9,39,2
3362,12,35,4
3575,6,2,3
2065,11,28,2
3072,15,5,3
4940,14,63,6
1989,1,43,3
3701,9,17,4
3923,5,16,4
2643,7,53,4
1204,9,4,2
1255,2,42,3
3658,2,29,4
2426,6,48,4
718,9,55,2
384,9,50,2
3592,12,44,4
3999,13,29,4
2055,15,59,3
1590,4,2,2
3236,9,22,3
3564,7,29,3
3941,10,37,5
1635,9,47,3
233,5,34,2
4205,7,3,4
732,9,48,2
4016,1,61,5
2643,6,45,4
676,10,53,2
4149,11,54,5
4446,6,28,4
2805,4,5,3
1476,4,24,2
531,5,61,2
4034,7,49,5
1593,8,33,3
4003,6,11,4
4292,8,17,4
4336,9,51,5
3898,7,33,5
1095,1,11,1
2494,15,43,4
2581,1,48,4
3157,4,55,4
1002,11,47,2
4844,13,28,5
2176,13,16,2
1941,2,32,3
917,5,37,2
690,3,48,2
2882,15,25,3
361,15,21,1
4277,11,13,4
4492,15,7,4
4944,13,30,5
2961,15,2,3
1678,10,56,3
1376,12,36,3
3824,8,9,4
937,3,34,2
4703,6,12,4
4110,9,14,4
3065,9,57,4
1357,14,6,2
1691,2,40,3
2248,8,42,3
3679,14,56,5
2147,2,41,3
835,11,63,2
3469,5,18,3
227,6,41,2
3246,11,26,3
3108,15,52,4
3777,1,50,5
2397,7,11,2
2831,5,26,3
2214,2,47,3
4428,11,63,5
655,13,54,2
3996,5,22,4
3212,3,33,4
1500,15,2,2
1104,1,28,1
3445,3,49,4
2089,1,48,3
2278,13,32,3
616,14,33,2
4535,7,48,5
3664,3,6,4
3521,3,6,3
1709,13,19,2
4683,1,40,5
4983,11,56,6
3719,13,43,5
958,10,2,1
1641,15,33,3
1370,14,48,3
1017,13,22,1
1132,13,3,1
3289,11,17,3
4875,14,48,6
3946,11,16,4
4190,3,40,5
2406,14,60,4
4147,14,61,5
1336,7,34,3
3522,9,63,4
2043,15,8,2
2153,5,35,3
2237,14,51,3
4013,10,55,5
2591,12,26,3
1163,1,50,2
1515,6,28,2
780,7,47,2
1227,9,52,3
4573,1,21,4
3627,1,15,4
4538,13,36,5
2066,8,40,3
1010,8,17,1
3382,5,13,3
1370,6,28,2
477,15,42,2
113,9,58,2
4437,14,24,4
4890,5,48,6
2851,4,8,3
984,2,6,1
4565,8,41,5
2730,15,17,3
4220,12,44,5
3758,4,32,5
3589,11,3,3
3385,6,2,3
2467,13,27,3
4137,2,50,5
1877,15,5,2
2112,1,54,3
2697,13,37,4
731,12,24,1
684,9,6,1
3798,12,50,5
2449,1,26,3
4591,1,49,5
130,11,54,2
4181,5,40,5
1561,2,41,3
3466,15,2,3
1836,10,5,2
886,14,9,1
1185,15,28,1
2609,15,47,4
593,14,16,1
3881,7,14,4
2560,1,49,4
2412,4,29,3
1595,2,9,2
174,7,51,2
1961,11,18,2
966,3,19,1
2582,8,51,4
4147,4,21,4
1972,15,48,3
2620,8,3,3
3334,8,11,3
210,2,52,2
656,12,10,1
4581,11,36,5
2925,5,20,3
3149,4,33,4
1158,1,35,2
2859,1,10,3
2488,13,35,4
2298,6,51,3
4231,6,21,4
2841,15,50,4
2401,7,49,4
927,13,46,2
4401,7,9,4
3736,2,3,4
1574,7,30,2
4888,2,30,5
2390,10,27,2
4566,1,15,4
3112,1,4,3
2594,14,52,4
2549,15,58,4
768,15,45,2
2158,1,45,3
1068,4,31,1
1261,4,28,2
3964,1,35,5
3345,13,19,3
838,1,32,2
4097,5,21,4
4823,9,17,5
1216,3,51,3
1330,9,23,2
1886,12,24,2
113,15,12,1
2782,3,37,4
4262,1,9,4
2718,2,53,4
1181,1,4,1
3539,12,27,3
336,11,36,2
4706,13,14,4
871,10,9,1
1271,14,57,3
4293,11,2,4
145,12,44,2
3816,7,30,4
2230,7,54,3
2837,4,8,3
3937,4,27,4
4962,13,39,6
769,14,61,2
361,13,25,1
3953,7,46,5
257,14,48,2
1160,8,5,1
3054,14,35,4
3420,8,14,3
646,8,45,2
349,12,53,2
2756,13,61,4
3547,10,47,4
3807,6,4,4
1235,11,39,3
3903,12,38,5
1049,14,13,1
4913,1,16,5
2672,6,46,4
1462,8,16,2
3944,3,48,5
1520,11,28,2
2087,8,16,2
3050,13,35,4
4405,10,4,4
173,2,34,2
4485,5,9,4
1135,2,27,1
4993,3,44,6
631,2,29,1
3824,7,62,5
446,9,37,2
3909,2,27,4
860,6,19,1
226,8,31,1
4928,15,37,6
2376,15,57,3
2657,15,12,3
4780,15,49,5
2832,5,19,3
2949,13,47,4
3873,10,61,5
682,11,11,1
3128,14,49,4
799,14,2,1
3152,12,2,3
4217,15,21,4
3999,2,19,4
3160,7,53,4
4095,12,33,5
2766,6,41,4
4970,11,57,6
4363,8,4,4
4858,9,3,5
1872,4,45,3
1005,9,52,2
2198,5,37,3
2330,6,6,2
3196,10,47,4
4477,14,21,4
464,13,20,1
240,3,38,2
1100,7,49,2
1721,15,13,2
2374,15,13,2
2875,2,59,4
1994,2,44,3
3875,9,60,5
3516,1,26,3
2300,1,7,2
866,12,2,1
4763,10,6,4
1719,5,47,3
4994,7,53,6
3984,12,51,5
2718,8,21,3
1723,9,51,3
3311,6,34,4
1654,2,62,3
4763,10,28,4
1719,2,37,3
3920,6,56,5
3496,3,25,3
3156,13,3,3
1202,8,60,3
2700,9,14,3
1526,13,4,2
2627,2,3,3
849,11,55,2
1398,9,47,3
4541,5,12,4
1265,2,41,3
4934,3,5,5
676,8,60,2
595,4,35,2
2605,8,41,4
3603,2,9,4
521,5,13,1
289,3,36,2
1442,2,50,3
3630,6,47,5
3283,7,22,3
2754,11,40,4
4188,8,35,5
1849,8,20,2
1732,14,35,3
2944,10,42,4
1828,6,53,3
332,5,32,2
743,6,63,2
4648,6,49,5
3457,1,18,3
1810,5,24,2
3276,14,45,4
3516,12,48,4
3543,15,12,3
2815,8,47,4
1913,4,8,2
3453,15,60,4
2655,14,47,4
4975,11,46,6
4017,2,56,5
2989,14,31,3
4072,9,11,4
1949,3,18,2
4558,10,56,5
2679,3,41,4
1557,15,44,3
3797,1,40,5
2212,5,22,2
1804,7,33,3
3960,3,30,4
1427,1,52,3
137,3,8,1
3227,2,41,4
3316,13,31,3
2642,11,60,4
3204,8,7,3
2566,5,16,3
1396,13,43,3
1139,10,23,1
2744,7,33,4
1743,5,58,3
